LakeName,SiteID,LakeID,SampleID,SiteType,WaterDepth,TopDepth,BottomDepth,TinID,TinTare,physWetMass,DryMassTin,CombustedMassTin
Five Island,1A,FI,FI1A,Deep,6.2,0,2,1,1.1019,0.4655,1.154,1.1442
Five Island,1B,FI,FI1B,Deep,6.2,2,4,2,1.0933,0.4202,1.1562,1.1452
Five Island,1C,FI,FI1C,Deep,6.2,4,6,3,1.1175,0.4593,1.1967,1.1827
Five Island,1D,FI,FI1D,Deep,6.2,6,8,4,1.1178,0.4378,1.1946,1.1819
Five Island,1E,FI,FI1E,Deep,6.2,8,10,5,1.0964,0.4908,1.1987,1.1817
Five Island,1F,FI,FI1F,Deep,6.2,10,15,6,1.1072,0.4705,1.2107,1.1937
Five Island,1G,FI,FI1G,Deep,6.2,15,20,7,1.1038,0.4295,1.2067,1.1906
Five Island,2,FI,FI2,Littoral,1.1,0,10,8,1.0912,0.4577,1.2163,1.1959
Five Island,3,FI,FI3,Littoral,3.1,0,10,9,1.1264,0.4932,1.2198,1.2018
Five Island,4,FI,FI4,Littoral,1.7,0,10,10,1.1058,0.4734,1.312,1.2931
Five Island,5,FI,FI5,Littoral,6.3,0,10,11,1.1001,0.4794,1.172,1.1593
Five Island,6,FI,FI6,Littoral,3.5,0,10,12,1.1133,0.4742,1.212,1.191
Five Island,7,FI,FI7,Littoral,2.7,0,10,13,1.0816,0.4914,1.2487,1.2355
Five Island,8,FI,FI8,Littoral,3.9,0,10,14,1.1033,0.4359,1.1933,1.1761
Five Island,9,FI,FI9,Littoral,2.5,0,10,15,1.1089,0.5096,1.2072,1.1849
Five Island,10,FI,FI10,Littoral,1.5,0,10,16,1.0932,0.4523,1.204,1.1791
Center,1A,CE,CE1A,Deep,4.5,0,2,17,1.0976,0.4647,1.1421,1.1329
Center,1B,CE,CE1B,Deep,4.5,2,4,18,1.134,0.463,1.1676,1.1564
Center,1C,CE,CE1C,Deep,4.5,4,6,19,1.0954,0.4814,1.1566,1.144
Center,1D,CE,CE1D,Deep,4.5,6,8,20,1.1125,0.4311,1.1809,1.1685
Center,1E,CE,CE1E,Deep,4.5,8,10,21,1.0907,0.4238,1.1616,1.1494
Center,1F,CE,CE1F,Deep,4.5,10,15,22,1.0873,0.4906,1.1825,1.1661
Center,1G,CE,CE1G,Deep,4.5,15,20,23,1.1004,0.4815,1.1997,1.1827
Center,2,CE,CE2,Littoral,4.4,0,10,24,1.0901,0.4971,1.1525,1.1399
Center,3,CE,CE3,Littoral,4.5,0,10,25,1.0876,0.471,1.1546,1.1416
Center,4,CE,CE4,Littoral,2.8,0,10,26,1.0961,0.4705,1.1993,1.1851
Center,5,CE,CE5,Littoral,4.1,0,10,27,1.1122,0.4579,1.1834,1.1705
Center,6,CE,CE6,Littoral,4.2,0,10,28,1.1036,0.4232,1.1712,1.1583
Center,7,CE,CE7,Littoral,4.3,0,10,29,1.1039,0.4808,1.1625,1.1513
Center,8,CE,CE8,Littoral,4.1,0,10,30,1.1105,0.4382,1.1697,1.1587
Center,9,CE,CE9,Littoral,4,0,10,31,1.0995,0.475,1.1767,1.1628
Center,10,CE,CE10,Littoral,3.9,0,10,32,1.1004,0.4658,1.1754,1.1622
Silver,1A,SI,SI1A,Deep,2.5,0,2,33,1.0959,0.5073,1.1823,1.1694
Silver,1B,SI,SI1B,Deep,2.5,2,4,34,1.091,0.5003,1.194,1.1798
Silver,1C,SI,SI1C,Deep,2.5,4,6,35,1.1084,0.4418,1.2137,1.2001
Silver,1D,SI,SI1D,Deep,2.5,6,8,36,1.1054,0.4708,1.2166,1.2021
Silver,1E,SI,SI1E,Deep,2.5,8,10,37,1.11,0.4948,1.2324,1.217
Silver,1F,SI,SI1F,Deep,2.5,10,15,38,1.1136,0.4759,1.2409,1.2246
Silver,1G,SI,SI1G,Deep,2.5,15,20,39,1.121,0.4707,1.259,1.2406
Silver,2,SI,SI2,Littoral,2.1,0,10,40,1.1027,0.4775,1.207,1.1931
Silver,3,SI,SI3,Littoral,2.2,0,10,41,1.0822,0.4911,1.1966,1.1811
Silver,4,SI,SI4,Littoral,2,0,10,42,1.0832,0.4126,1.201,1.1885
Silver,5,SI,SI5,Littoral,1.7,0,10,43,1.0685,0.4734,1.1854,1.1731
Silver,6,SI,SI6,Littoral,1.7,0,10,44,1.0694,0.4338,1.1675,1.1549
Silver,7,SI,SI7,Littoral,1.8,0,10,45,1.1065,0.417,1.2035,1.1923
Silver,8,SI,SI8,Littoral,2.5,0,10,46,1.082,0.4997,1.1793,1.1661
Silver,9,SI,SI9,Littoral,1.8,0,10,47,1.0928,0.4885,1.226,1.2093
Silver,10,SI,SI10,Littoral,2,0,10,48,1.1057,0.499,1.2152,1.2022
Storm,1A,SO,SO1A,Deep,4.2,0,2,49,1.0866,0.4398,1.2139,1.2056
Storm,1B,SO,SO1B,Deep,4.2,2,4,50,1.1015,0.4701,1.2632,1.2546
Storm,1C,SO,SO1C,Deep,4.2,4,6,51,1.1022,0.4466,1.244,1.236
Storm,1D,SO,SO1D,Deep,4.2,6,8,52,1.1046,0.4054,1.2392,1.2306
Storm,1E,SO,SO1E,Deep,4.2,8,10,53,1.088,0.4296,1.24,1.2297
Storm,1F,SO,SO1F,Deep,4.2,10,15,54,1.1028,0.4978,1.2712,1.2597
Storm,1G,SO,SO1G,Deep,4.2,15,20,55,1.1058,0.4439,1.2631,1.2534
Storm,2,SO,SO2,Littoral,2.5,0,10,49,1.106,0.4938,1.4548,1.4503
Storm,3,SO,SO3,Littoral,2.5,0,10,50,1.0785,0.4148,1.2192,1.2107
Storm,4,SO,SO4,Littoral,4.6,0,10,51,1.1164,0.4714,1.2575,1.2491
Storm,5,SO,SO5,Littoral,2.5,0,10,52,1.0963,0.4323,1.2906,1.2814
Storm,6,SO,SO6,Littoral,2.6,0,10,53,1.0694,0.4869,1.2456,1.2346
Storm,7,SO,SO7,Littoral,2.3,0,10,54,1.1094,0.4589,1.2556,1.2456
Storm,8,SO,SO8,Littoral,2.3,0,10,55,1.0893,0.4359,1.2611,1.2528
Storm,9,SO,SO9,Littoral,3.2,0,10,56,1.1063,0.4968,1.2527,1.243
Storm,10,SO,SO10,Littoral,2.5,0,10,57,1.0761,0.4372,1.2548,1.246
North Twin,1A,NT,NT1A,Deep,3.5,0,2,1,1.1121,0.4719,1.1404,1.1325
North Twin,1B,NT,NT1B,Deep,3.5,2,4,2,1.0907,0.4715,1.1352,1.1236
North Twin,1C,NT,NT1C,Deep,3.5,4,6,3,1.0919,0.4465,1.1281,1.1185
North Twin,1D,NT,NT1D,Deep,3.5,6,8,4,1.0797,0.4475,1.125,1.1148
North Twin,1E,NT,NT1E,Deep,3.5,8,10,5,1.0944,0.4199,1.1439,1.1331
North Twin,1F,NT,NT1F,Deep,3.5,10,15,6,1.0912,0.4214,1.1482,1.1371
North Twin,1G,NT,NT1G,Deep,3.5,15,20,7,1.105,0.4636,1.1766,1.1624
North Twin,2,NT,NT2,Littoral,1.8,0,10,8,1.1178,0.445,1.2425,1.2195
North Twin,3,NT,NT3,Littoral,2.7,0,10,9,1.104,0.4527,1.172,1.1608
North Twin,4,NT,NT4,Littoral,3,0,10,10,1.0941,0.4624,1.1352,1.1259
North Twin,5,NT,NT5,Littoral,3,0,10,11,1.1087,0.5027,1.1586,1.1468
North Twin,6,NT,NT6,Littoral,3.1,0,10,12,1.0959,0.4432,1.1391,1.1299
North Twin,7,NT,NT7,Littoral,2.2,0,10,13,1.124,0.4306,1.1798,1.1696
North Twin,8,NT,NT8,Littoral,2.9,0,10,14,1.1075,0.4741,1.1625,1.1513
North Twin,9,NT,NT9,Littoral,2.9,0,10,15,1.1108,0.4474,1.1556,1.1462
North Twin,10,NT,NT10,Littoral,2.8,0,10,16,1.1159,0.4484,1.1987,1.186
South Twin,1A,ST,ST1A,Deep,1.5,0,2,17,1.0974,0.4209,1.1421,1.1329
South Twin,1B,ST,ST1B,Deep,1.5,2,4,18,1.0967,0.4584,1.1698,1.1556
South Twin,1C,ST,ST1C,Deep,1.5,4,6,19,1.098,0.4519,1.1712,1.1584
South Twin,1D,ST,ST1D,Deep,1.5,6,8,20,1.0955,0.4772,1.1743,1.1583
South Twin,1E,ST,ST1E,Deep,1.5,8,10,21,1.1076,0.4437,1.1843,1.1694
South Twin,1F,ST,ST1F,Deep,1.5,10,15,22,1.1262,0.4265,1.2211,1.2036
South Twin,1G,ST,ST1G,Deep,1.5,15,20,23,1.1113,0.4484,1.2243,1.2031
South Twin,2,ST,ST2,Littoral,1.5,0,10,24,1.093,0.4146,1.1578,1.1449
South Twin,3,ST,ST3,Littoral,1.6,0,10,25,1.0883,0.4375,1.1494,1.1362
South Twin,4,ST,ST4,Littoral,0.7,0,10,26,1.0989,0.4706,1.1771,1.1595
South Twin,5,ST,ST5,Littoral,1.4,0,10,27,1.089,0.4282,1.1566,1.1443
South Twin,6,ST,ST6,Littoral,1.4,0,10,28,1.1167,0.445,1.1866,1.1732
South Twin,7,ST,ST7,Littoral,0.8,0,10,29,1.0905,0.462,1.1732,1.158
South Twin,8,ST,ST8,Littoral,1.4,0,10,30,1.1074,0.4335,1.1687,1.1571
South Twin,9,ST,ST9,Littoral,1.5,0,10,31,1.0853,0.4389,1.1572,1.1434
South Twin,10,ST,ST10,Littoral,1.4,0,10,32,1.1167,0.4226,1.1837,1.1707
Swan,1A,SW,SW1A,Deep,3,0,2,33,1.1069,0.4278,1.143,1.1358
Swan,1B,SW,SW1B,Deep,3,2,4,34,1.1118,0.4041,1.1668,1.1587
Swan,1C,SW,SW1C,Deep,3,4,6,35,1.0765,0.4344,1.1468,1.1363
Swan,1D,SW,SW1D,Deep,3,6,8,36,1.1143,0.4203,1.1945,1.1849
Swan,1E,SW,SW1E,Deep,3,8,10,37,1.1013,0.4585,1.2001,1.1886
Swan,1F,SW,SW1F,Deep,3,10,15,38,1.0928,0.4684,1.1895,1.1786
Swan,1G,SW,SW1G,Deep,3,15,20,39,1.105,0.468,1.2045,1.1917
Swan,2,SW,SW2,Littoral,1.9,0,10,40,1.0945,0.4886,1.1954,1.1831
Swan,3,SW,SW3,Littoral,1.6,0,10,41,1.0871,0.4438,1.2031,1.1899
Swan,4,SW,SW4,Littoral,1.5,0,10,42,1.0947,0.4961,1.2435,1.2271
Swan,5,SW,SW5,Littoral,1.5,0,10,43,1.1209,0.4921,1.2134,1.2024
Swan,6,SW,SW6,Littoral,2,0,10,44,1.0886,0.4498,1.1467,1.1394
Swan,7,SW,SW7,Littoral,1.8,0,10,45,1.0993,0.4514,1.134,1.1293
Swan,8,SW,SW8,Littoral,2.1,0,10,46,1.098,0.4431,1.1769,1.1669
Swan,9,SW,SW9,Littoral,2.8,0,10,47,1.0996,0.4489,1.1706,1.1618
Swan,10,SW,SW10,Littoral,3.3,0,10,48,1.0822,0.4064,1.151,1.1424
